date,dad,trt,water_trt,plant,diameter_mm,leaf_count,stage,fruit_count
3/17/2025,4,C,w,5,34,16,v,0
3/17/2025,4,C,w,6,25,8,v,0
3/17/2025,4,C,w,7,18,7,v,0
3/17/2025,4,C,d,8,26,7,v,0
3/17/2025,4,C,w,9,30,12,v,0
3/17/2025,4,C,d,10,25,8,v,0
3/17/2025,4,C,w,11,32,10,v,0
3/17/2025,4,C,w,12,18,8,v,0
3/17/2025,4,C,d,13,15,6,v,0
3/17/2025,4,C,w,14,32,9,v,0
3/17/2025,4,C,d,15,17,6,v,0
3/17/2025,4,C,w,16,23,7,v,0
3/17/2025,4,C,d,17,26,8,v,0
3/17/2025,4,C,d,18,19,4,v,0
3/17/2025,4,C,w,19,30,9,v,0
3/17/2025,4,C,d,20,19,7,v,0
3/17/2025,4,C,d,21,26,8,v,0
3/17/2025,4,C,d,22,23,8,v,0
3/17/2025,4,C,d,23,22,8,v,0
3/17/2025,4,C,w,24,26,7,v,0
3/17/2025,4,C,w,25,24,7,v,0
3/17/2025,4,C,w,26,28,8,v,0
3/17/2025,4,C,w,27,24,8,v,0
3/17/2025,4,C,d,28,34,11,v,0
3/17/2025,4,C,d,29,27,8,v,0
3/17/2025,4,C,w,30,31,12,v,0
3/17/2025,4,C,w,31,28,8,v,0
3/17/2025,4,C,d,32,33,8,v,0
3/17/2025,4,C,d,33,24,6,v,0
3/17/2025,4,C,d,34,40,10,v,0
3/17/2025,4,C,d,35,24,8,v,0
3/17/2025,4,C,d,36,20,6,v,0
3/17/2025,4,C,d,37,24,5,v,0
3/17/2025,4,C,d,38,23,9,v,0
3/17/2025,4,E,d,1,19,6,v,0
3/17/2025,4,E,d,2,24,10,v,0
3/17/2025,4,E,w,3,19,7,v,0
3/17/2025,4,E,d,4,26,8,v,0
3/17/2025,4,E,d,5,26,11,v,0
3/17/2025,4,E,w,6,24,7,v,0
3/17/2025,4,E,w,7,27,12,v,0
3/17/2025,4,E,w,8,25,8,v,0
3/17/2025,4,E,d,9,22,5,v,0
3/17/2025,4,E,w,10,19,8,v,0
3/17/2025,4,E,w,11,22,8,v,0
3/17/2025,4,E,w,12,25,9,v,0
3/17/2025,4,E,d,13,21,8,v,0
3/17/2025,4,E,d,14,22,8,v,0
3/17/2025,4,E,w,15,21,8,v,0
3/17/2025,4,E,d,16,11,8,v,0
3/17/2025,4,E,w,17,15,6,v,0
3/17/2025,4,E,w,18,24,10,v,0
3/17/2025,4,E,w,19,21,8,v,0
3/17/2025,4,E,d,20,20,9,v,0
3/17/2025,4,E,w,21,20,8,v,0
3/17/2025,4,E,w,22,16,6,v,0
3/17/2025,4,E,w,23,24,8,v,0
3/17/2025,4,E,d,24,29,7,v,0
3/17/2025,4,E,d,25,22,8,v,0
3/17/2025,4,E,d,26,27,8,v,0
3/17/2025,4,E,d,27,35,12,v,0
3/17/2025,4,E,d,28,23,8,v,0
3/17/2025,4,E,w,29,17,8,v,0
